instancia,tipo_sede,alcaldia,sede,calle,numero_exterior,numero_interior,colonia,colonia_servicio_postal_mexicano,codigo_postal_servicio_postal_mexicano,referencia_de_ubicacion,latitud,longitud,dias_atencion,horario_ini,horario_fin,telefono_uno,telefono_dos,telefono_tres,telefono_cuatro
FISCALÍA  GENERAL DE JUSTICIA,COORDINACIÓN TERRITORIAL,XOCHIMILCO,Coordinación Territorial XO-1,Circuito Martínez de Castro,S/N,S/N,San Mateo Xalpa,San Mateo Xalpa,16800,Edificio de Juzgados Reclusorio Sur,19.236648,-99.127477,Lunes a Domingo,09:00:00,19:00:00,52009468,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,"Agencia 59 Fiscalía Central de Investigación para la Atención de Niños, Niñas y Adolescentes",Doctor Liceaga,93,S/N,Doctores,Doctores,06720,Una cuadra atrás del Búnker,19.422127,-99.147785,Lunes a Domingo,00:00:00,23:59:00,52426121,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,COORDINACIÓN TERRITORIAL,IZTAPALAPA,Coordinación Territorial IZP-3,Eje 5 SUR y Canal de Churubusco,S/N,S/N,Central De Abastos,Central De Abasto,09040,Interior de la Central de Abastos,19.373298,-99.095991,Lunes a Domingo,09:00:00,19:00:00,56455654,56455655,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,GUSTAVO A. MADERO,Coordinación Territorial GAM-1,Emiliano Zapata y Guadalupe Victoria,S/N,S/N,Cuautepec Barrio Bajo,Cuautepec De Madero,07200,Cerca de la laguna del Arbolillo,19.537562,-99.141316,Lunes a Domingo,00:00:00,23:59:00,53468062,53468066,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,Agencia del Ministerio Público Especializada en Atención a Usuarios del STCM Hidalgo,Entrada y/o Salida Avenida Puente de Alvarado,S/N,S/N,Centro,Centro (Área 1),06000,Dentro de las instalaciones de la estación Hidalgo,19.437517,-99.14724,Lunes a Viernes,09:00:00,19:00:00,52009412,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,VENUSTIANO CARRANZA,Coordinación Territorial VC-3,Francisco del Paso y Troncoso esquina con Fray Servando Teresa de Mier,S/N,S/N,Jardín Balbuena,Jardín Balbuena,15900,Alcaldía Venustiano Carranza,19.419727,-99.114014,Lunes a Domingo,00:00:00,23:59:00,53455831,53455809,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,VENUSTIANO CARRANZA,Fiscalía de Investigación de Delitos Sexuales FDS-3,Francisco del Paso y Troncoso esquina Fray Servando Teresa de Mier,S/N,S/N,Jardín Balbuena,Jardín Balbuena,15900,Alcaldía Venustiano Carranza,19.419833,-99.114026,Lunes a Domingo,00:00:00,23:59:00,53455832,53455830,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,COORDINACIÓN TERRITORIAL,GUSTAVO A. MADERO,Coordinación Territorial GAM-6,Francisco Novoa y Nezahualcóyotl,S/N,S/N,Aragón La Villa,Aragón La Villa,07000,Entre Nezahualcóyotl y Malintzin,19.477371,-99.112704,Lunes a Domingo,00:00:00,23:59:00,53468944,53468946,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,"Fiscalía Especializada en la Búsqueda, Localización e Investigación de Personas Desaparecidas",Isabel la Católica,185,S/N,Obrera,Obrera,06800,NA,19.421777,-99.138048,Lunes a Domingo,00:00:00,23:59:00,5553455080,5553455082,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,COORDINACIÓN TERRITORIAL,TLALPAN,Coordinación Territorial TLP-2 y TLP-3,Jojutla y Mariano Matamoros,S/N,S/N,Tlalpan Centro,Tlalpan Centro,14000,Paralela a Calzada de Tlalpan,19.283602,-99.165646,Lunes a Domingo,09:00:00,19:00:00,52009336,52009310,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,CUAUHTEMOC,Coordinación Territorial CUH-2,Juan Aldama y Luis Donaldo Colosio,S/N,S/N,Buenavista,Buenavista,06350,A espaldas de la Alcaldía Cuauhtémoc,19.441607,-99.151458,Lunes a Domingo,00:00:00,23:59:00,53468190,53468121,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,MIGUEL HIDALGO,Coordinación Territorial MH-2,Lago Erne y Lago Kolind,56,S/N,Pensil Norte,Pensil Norte,11430,Esquina Lago Trasimeno,19.449577,-99.194556,Lunes a Domingo,00:00:00,23:59:00,53468259,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,TLAHUAC,Coordinación Territorial TLH-1,Leandro Valle entre Piraña y Langosta,S/N,S/N,Del Mar,Del Mar,13270,"A un costado de la Universidad Marista, dentro del depósito vehicular",19.282588,-99.064506,Lunes a Domingo,00:00:00,23:59:00,53455700,53455857,NA,NA
